Team_Clean,Total_Salary,Avg_Salary,Total_Value,Avg_Value,Total_Points,Roster_Size,Total_Overpay,Avg_Efficiency,Efficiency_Std,Avg_Age,Efficiency_Rating,Cost_Per_Point,Value_Consistency,Youth_Factor,Overall_Score
DAL,90.9,6.06,70.06,4.67,7431.0,15,-84.27,1.0,0.64,27.0,0.7707370737073708,0.012232539362131612,1.3513513513513513,3.0,0.8737002348883537
LAC,134.39,11.2,62.53,5.21,7766.0,12,-21.93,0.66,0.51,27.83,0.46528759580325924,0.017304918877156836,1.639344262295082,2.1700000000000017,0.8013183170098284
UTA,125.18,7.82,59.69,3.73,8702.0,16,-24.06,0.8,0.72,24.0,0.47683335996165516,0.014385198804872443,1.2195121951219512,6.0,0.7832536691879141
CHA,143.57,7.56,61.5,3.24,7388.0,19,-10.17,0.83,0.69,25.11,0.42836247126837085,0.019432864103952355,1.2658227848101267,4.890000000000001,0.7755584906170531
POR,109.79,6.1,72.61,4.03,9083.0,18,-71.73,1.04,1.11,24.22,0.6613534930321523,0.01208741605196521,0.8264462809917354,5.780000000000001,0.7480752815103815
NOR,198.03,11.65,69.02,4.06,8102.0,17,25.49,0.78,0.65,25.29,0.34853305054789674,0.024442113058504075,1.3333333333333333,4.710000000000001,0.746946553552492
SAS,107.16,6.7,70.86,4.43,8650.0,16,-69.99,1.1,1.39,24.94,0.6612541993281075,0.01238843930635838,0.6711409395973155,5.059999999999999,0.6737106282771043
HOU,145.37,8.55,89.67,5.27,9359.0,17,-78.8,1.38,1.31,25.88,0.6168397881268487,0.015532642376322257,0.7092198581560283,4.120000000000001,0.6552352060308813
BKN,94.96,5.94,51.18,3.2,7005.0,16,-33.0,0.99,1.5,23.31,0.5389637742207245,0.013556031406138471,0.625,6.690000000000001,0.6435521763549565
LAL,83.37,6.41,45.88,3.53,6091.0,13,-31.35,0.5,1.13,25.54,0.5503178601415377,0.013687407650632082,0.8130081300813008,4.460000000000001,0.639896249747672
CLE,210.66,14.04,81.51,5.43,8688.0,15,6.88,0.91,0.93,25.6,0.38692680148105957,0.024247237569060772,0.970873786407767,4.399999999999999,0.6340328565147538
MIA,110.39,6.9,65.42,4.09,7802.0,16,-53.17,1.28,1.3,26.5,0.5926261436724342,0.014148936170212767,0.7142857142857142,3.5,0.6280028384213546
BOS,218.55,13.66,85.33,5.33,9443.0,16,5.22,0.89,0.89,27.12,0.39043697094486385,0.023144127925447424,1.0101010101010102,2.879999999999999,0.6234717580749153
MIL,133.23,8.88,65.06,4.34,8158.0,15,-29.4,1.01,1.11,26.87,0.4883284545522781,0.01633120862956607,0.8264462809917354,3.129999999999999,0.6058652661184318
OKC,180.82,10.05,99.95,5.55,9879.0,18,-69.07,1.07,1.97,24.5,0.5527596504811415,0.01830347201133718,0.48309178743961356,5.5,0.5960313964243407
CHI,128.17,7.54,77.91,4.58,7801.0,17,-66.61,2.05,2.32,24.47,0.6078645548880394,0.016429944878861683,0.4132231404958678,5.530000000000001,0.5910460974373095
GSW,140.32,8.25,82.74,4.87,7384.0,17,-66.54,1.61,1.61,26.71,0.5896522234891676,0.019003250270855903,0.5847953216374269,3.289999999999999,0.5904328192202284
DEN,211.89,12.46,75.9,4.46,9902.0,17,22.13,0.7,1.07,26.24,0.3582047288687527,0.02139870733185215,0.8547008547008546,3.7600000000000016,0.5882254812910908
MEM,158.9,9.35,83.9,4.94,9415.0,17,-50.86,1.02,1.92,24.59,0.5280050346129641,0.01687732342007435,0.49504950495049505,5.41,0.5812501986636676
ORL,187.54,11.03,75.38,4.43,8645.0,17,-0.92,0.59,1.33,25.29,0.4019409192705556,0.021693464430306536,0.6993006993006993,4.710000000000001,0.5780999108317654
WAS,85.57,6.58,48.36,3.72,6707.0,13,-35.32,1.76,1.99,24.38,0.5651513380857778,0.012758312211122707,0.47846889952153115,5.620000000000001,0.5686678717574372
ATL,147.6,10.54,70.52,5.04,7589.0,14,-28.7,1.5,1.64,24.43,0.47777777777777775,0.01944920279351693,0.5747126436781609,5.57,0.5682582375478927
TOR,149.37,9.34,61.72,3.86,7954.0,16,-4.93,0.9,1.57,24.81,0.413202115551985,0.018779230575810914,0.5988023952095808,5.190000000000001,0.5553882314503349
DET,142.9,8.41,92.54,5.44,9059.0,17,-88.47,2.0,4.52,24.53,0.6475857242827152,0.01577436803179159,0.21645021645021648,5.469999999999999,0.5467026879814845
MIN,191.39,10.63,80.02,4.45,9367.0,18,-8.67,0.85,1.83,26.22,0.41809916923559226,0.020432368954841462,0.5181347150259067,3.780000000000001,0.5182800822020089
PHI,203.04,10.69,74.08,3.9,7324.0,19,17.85,1.01,1.47,27.32,0.36485421591804573,0.027722555980338612,0.6369426751592356,2.6799999999999997,0.5172911555816556
SAC,128.75,8.05,65.72,4.11,6767.0,16,-35.55,1.11,2.04,27.19,0.5104466019417475,0.01902615634697798,0.4672897196261682,2.8099999999999987,0.5072322233312161
IND,201.23,10.59,98.94,5.21,9204.0,19,-46.13,1.98,3.03,25.68,0.4916761914227501,0.021863320295523684,0.3194888178913738,4.32,0.5055837886031789
PHX,168.65,11.24,64.26,4.28,8558.0,15,7.99,0.88,1.34,27.87,0.38102579306255563,0.0197067071745735,0.6944444444444443,2.129999999999999,0.5033436505583555
NYK,182.16,10.72,71.36,4.2,9349.0,17,3.77,1.36,2.67,26.47,0.39174352217830477,0.01948443683816451,0.36101083032490977,3.530000000000001,0.44893399130212824
